지역명,규모구분,연도,월,분양가격(제곱미터)
제주,전용면적 60제곱미터초과 85제곱미터이하,2015.0,12.0,2260.0
제주,전용면적 85제곱미터초과 102제곱미터이하,2015.0,12.0,2583.0
제주,전용면적 102제곱미터초과,2015.0,12.0,2574.0
서울,모든면적,2016.0,1.0,6108.0
서울,전용면적 60제곱미터이하,2016.0,1.0,6427.0
서울,전용면적 60제곱미터초과 85제곱미터이하,2016.0,1.0,6036.0
서울,전용면적 85제곱미터초과 102제곱미터이하,2016.0,1.0,6513.0
서울,전용면적 102제곱미터초과,2016.0,1.0,6551.0
인천,모든면적,2016.0,1.0,3191.0
인천,전용면적 60제곱미터이하,2016.0,1.0,3328.0
인천,전용면적 60제곱미터초과 85제곱미터이하,2016.0,1.0,3110.0
인천,전용면적 85제곱미터초과 102제곱미터이하,2016.0,1.0,3545.0
인천,전용면적 102제곱미터초과,2016.0,1.0,3408.0
경기,모든면적,2016.0,1.0,3198.0
경기,전용면적 60제곱미터이하,2016.0,1.0,3293.0
경기,전용면적 60제곱미터초과 85제곱미터이하,2016.0,1.0,3313.0
경기,전용면적 85제곱미터초과 102제곱미터이하,2016.0,1.0,3450.0
경기,전용면적 102제곱미터초과,2016.0,1.0,3850.0
부산,모든면적,2016.0,1.0,3152.0
부산,전용면적 60제곱미터이하,2016.0,1.0,2951.0
부산,전용면적 60제곱미터초과 85제곱미터이하,2016.0,1.0,3057.0
부산,전용면적 85제곱미터초과 102제곱미터이하,2016.0,1.0,2957.0
부산,전용면적 102제곱미터초과,2016.0,1.0,3812.0
대구,모든면적,2016.0,1.0,3086.0
대구,전용면적 60제곱미터이하,2016.0,1.0,3341.0
대구,전용면적 60제곱미터초과 85제곱미터이하,2016.0,1.0,3103.0
대구,전용면적 85제곱미터초과 102제곱미터이하,2016.0,1.0,2532.0
대구,전용면적 102제곱미터초과,2016.0,1.0,2743.0
광주,모든면적,2016.0,1.0,2569.0
광주,전용면적 60제곱미터이하,2016.0,1.0,2395.0
광주,전용면적 60제곱미터초과 85제곱미터이하,2016.0,1.0,2582.0
광주,전용면적 85제곱미터초과 102제곱미터이하,2016.0,1.0,  
광주,전용면적 102제곱미터초과,2016.0,1.0,  
대전,모든면적,2016.0,1.0,2454.0
대전,전용면적 60제곱미터이하,2016.0,1.0,2585.0
대전,전용면적 60제곱미터초과 85제곱미터이하,2016.0,1.0,2428.0
대전,전용면적 85제곱미터초과 102제곱미터이하,2016.0,1.0,2461.0
대전,전용면적 102제곱미터초과,2016.0,1.0,  
울산,모든면적,2016.0,1.0,3046.0
울산,전용면적 60제곱미터이하,2016.0,1.0,2584.0
울산,전용면적 60제곱미터초과 85제곱미터이하,2016.0,1.0,3053.0
울산,전용면적 85제곱미터초과 102제곱미터이하,2016.0,1.0,2663.0
울산,전용면적 102제곱미터초과,2016.0,1.0,2874.0
세종,모든면적,2016.0,1.0,2665.0
세종,전용면적 60제곱미터이하,2016.0,1.0,2601.0
세종,전용면적 60제곱미터초과 85제곱미터이하,2016.0,1.0,2676.0
세종,전용면적 85제곱미터초과 102제곱미터이하,2016.0,1.0,2661.0
세종,전용면적 102제곱미터초과,2016.0,1.0,2752.0
강원,모든면적,2016.0,1.0,2173.0
강원,전용면적 60제곱미터이하,2016.0,1.0,2290.0
강원,전용면적 60제곱미터초과 85제곱미터이하,2016.0,1.0,2199.0
강원,전용면적 85제곱미터초과 102제곱미터이하,2016.0,1.0,2061.0
강원,전용면적 102제곱미터초과,2016.0,1.0,2171.0
충북,모든면적,2016.0,1.0,2008.0
충북,전용면적 60제곱미터이하,2016.0,1.0,1952.0
충북,전용면적 60제곱미터초과 85제곱미터이하,2016.0,1.0,2021.0
충북,전용면적 85제곱미터초과 102제곱미터이하,2016.0,1.0,2276.0
충북,전용면적 102제곱미터초과,2016.0,1.0,2261.0
충남,모든면적,2016.0,1.0,2270.0
충남,전용면적 60제곱미터이하,2016.0,1.0,2481.0
충남,전용면적 60제곱미터초과 85제곱미터이하,2016.0,1.0,2281.0
충남,전용면적 85제곱미터초과 102제곱미터이하,2016.0,1.0,2541.0
충남,전용면적 102제곱미터초과,2016.0,1.0,2444.0
전북,모든면적,2016.0,1.0,1980.0
전북,전용면적 60제곱미터이하,2016.0,1.0,1908.0
전북,전용면적 60제곱미터초과 85제곱미터이하,2016.0,1.0,1987.0
전북,전용면적 85제곱미터초과 102제곱미터이하,2016.0,1.0,2377.0
전북,전용면적 102제곱미터초과,2016.0,1.0,2282.0
전남,모든면적,2016.0,1.0,1909.0
전남,전용면적 60제곱미터이하,2016.0,1.0,1999.0
전남,전용면적 60제곱미터초과 85제곱미터이하,2016.0,1.0,1906.0
전남,전용면적 85제곱미터초과 102제곱미터이하,2016.0,1.0,2262.0
전남,전용면적 102제곱미터초과,2016.0,1.0,2176.0
경북,모든면적,2016.0,1.0,2181.0
경북,전용면적 60제곱미터이하,2016.0,1.0,2178.0
경북,전용면적 60제곱미터초과 85제곱미터이하,2016.0,1.0,2185.0
경북,전용면적 85제곱미터초과 102제곱미터이하,2016.0,1.0,2516.0
경북,전용면적 102제곱미터초과,2016.0,1.0,2346.0
경남,모든면적,2016.0,1.0,2327.0
경남,전용면적 60제곱미터이하,2016.0,1.0,2270.0
경남,전용면적 60제곱미터초과 85제곱미터이하,2016.0,1.0,2348.0
경남,전용면적 85제곱미터초과 102제곱미터이하,2016.0,1.0,2925.0
경남,전용면적 102제곱미터초과,2016.0,1.0,2828.0
제주,모든면적,2016.0,1.0,2268.0
제주,전용면적 60제곱미터이하,2016.0,1.0,  
제주,전용면적 60제곱미터초과 85제곱미터이하,2016.0,1.0,2260.0
제주,전용면적 85제곱미터초과 102제곱미터이하,2016.0,1.0,2583.0
제주,전용면적 102제곱미터초과,2016.0,1.0,2574.0
서울,모든면적,2016.0,2.0,6111.0
서울,전용면적 60제곱미터이하,2016.0,2.0,6438.0
서울,전용면적 60제곱미터초과 85제곱미터이하,2016.0,2.0,6039.0
서울,전용면적 85제곱미터초과 102제곱미터이하,2016.0,2.0,6513.0
서울,전용면적 102제곱미터초과,2016.0,2.0,6458.0
인천,모든면적,2016.0,2.0,3192.0
인천,전용면적 60제곱미터이하,2016.0,2.0,3328.0
